        { date: '2026-02-01', day_of_week: 'Sunday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2456000, cogs: 1194481, gross_profit: 1261519, rent: 178571, waiters_salaries: 80357, chefs_salaries: 60714, other_staff_salaries: 163929, electricity_grid: 33929, generator_fuel: 89286, marketing_social: 42857, maintenance_sanitation: 25000, consumables: 10714, fixed_opex_total: 685357, card_fees: 29472, bank_charges: 0, total_opex: 714829, operating_profit: 546690 },
        { date: '2026-03-30', day_of_week: 'Monday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1899800, cogs: 892897, gross_profit: 1006903, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 22798, bank_charges: 10000, total_opex: 651830, operating_profit: 355073 },
        { date: '2026-03-31', day_of_week: 'Tuesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2174400, cogs: 1041804, gross_profit: 1132596, rent: 161290, waiters_salaries: 72581, chefs_salaries: 54839, other_staff_salaries: 148065, electricity_grid: 30645, generator_fuel: 80645, marketing_social: 38710, maintenance_sanitation: 22581, consumables: 9677, fixed_opex_total: 619032, card_fees: 26093, bank_charges: 0, total_opex: 645125, operating_profit: 487471 },
        { date: '2026-04-01', day_of_week: 'Wednesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2128300, cogs: 1002613, gross_profit: 1125687, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 25540, bank_charges: 0, total_opex: 665206, operating_profit: 460481 },
        { date: '2026-04-02', day_of_week: 'Thursday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1895200, cogs: 912765, gross_profit: 982435, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 22742, bank_charges: 0, total_opex: 662409, operating_profit: 320026 },
        { date: '2026-04-03', day_of_week: 'Friday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2132200, cogs: 1020115, gross_profit: 1112085, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 25586, bank_charges: 0, total_opex: 665253, operating_profit: 446832 },
        { date: '2026-04-04', day_of_week: 'Saturday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1963200, cogs: 896021, gross_profit: 1067179, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 23558, bank_charges: 0, total_opex: 663225, operating_profit: 403954 },
        { date: '2026-04-05', day_of_week: 'Sunday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2118900, cogs: 1008267, gross_profit: 1110633, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 25427, bank_charges: 0, total_opex: 665093, operating_profit: 445540 },
        { date: '2026-04-06', day_of_week: 'Monday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1989300, cogs: 972608, gross_profit: 1016692, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 23872, bank_charges: 10000, total_opex: 673538, operating_profit: 343154 },
        { date: '2026-04-07', day_of_week: 'Tuesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1940800, cogs: 901552, gross_profit: 1039248, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 23290, bank_charges: 0, total_opex: 662956, operating_profit: 376292 },
        { date: '2026-04-08', day_of_week: 'Wednesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1808400, cogs: 799196, gross_profit: 1009204, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 21701, bank_charges: 0, total_opex: 661367, operating_profit: 347837 },
        { date: '2026-04-09', day_of_week: 'Thursday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1909100, cogs: 923524, gross_profit: 985576, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 22909, bank_charges: 0, total_opex: 662576, operating_profit: 323000 },
        { date: '2026-04-10', day_of_week: 'Friday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2419700, cogs: 1206820, gross_profit: 1212880, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 29036, bank_charges: 0, total_opex: 668703, operating_profit: 544177 },
        { date: '2026-04-11', day_of_week: 'Saturday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 0, bank_charges: 0, total_opex: 639667, operating_profit: -639667 },
        { date: '2026-04-12', day_of_week: 'Sunday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 0, bank_charges: 0, total_opex: 639667, operating_profit: -639667 },
        { date: '2026-04-13', day_of_week: 'Monday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 0, bank_charges: 10000, total_opex: 649667, operating_profit: -649667 },
        { date: '2026-04-14', day_of_week: 'Tuesday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 0, bank_charges: 0, total_opex: 639667, operating_profit: -639667 },
        { date: '2026-04-15', day_of_week: 'Wednesday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 0, bank_charges: 0, total_opex: 639667, operating_profit: -639667 },
        { date: '2026-04-16', day_of_week: 'Thursday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 0, bank_charges: 0, total_opex: 639667, operating_profit: -639667 },
        { date: '2026-04-17', day_of_week: 'Friday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 0, bank_charges: 0, total_opex: 639667, operating_profit: -639667 },
        { date: '2026-04-18', day_of_week: 'Saturday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 0, bank_charges: 0, total_opex: 639667, operating_profit: -639667 },
        { date: '2026-04-19', day_of_week: 'Sunday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 0, bank_charges: 0, total_opex: 639667, operating_profit: -639667 },
        { date: '2026-04-20', day_of_week: 'Monday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1819200, cogs: 853374, gross_profit: 965826, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 21830, bank_charges: 10000, total_opex: 671497, operating_profit: 294329 },
        { date: '2026-04-21', day_of_week: 'Tuesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2222300, cogs: 1074130, gross_profit: 1148170, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 26668, bank_charges: 0, total_opex: 666334, operating_profit: 481836 },
        { date: '2026-04-22', day_of_week: 'Wednesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2125200, cogs: 1021166, gross_profit: 1104034, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 25502, bank_charges: 0, total_opex: 665169, operating_profit: 438865 },
        { date: '2026-04-23', day_of_week: 'Thursday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2174800, cogs: 1016059, gross_profit: 1158741, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 26098, bank_charges: 0, total_opex: 665764, operating_profit: 492977 },
        { date: '2026-04-24', day_of_week: 'Friday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2551000, cogs: 1253793, gross_profit: 1297207, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 30612, bank_charges: 0, total_opex: 670279, operating_profit: 626928 },
        { date: '2026-04-25', day_of_week: 'Saturday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2350400, cogs: 1160929, gross_profit: 1189471, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 28205, bank_charges: 0, total_opex: 667871, operating_profit: 521600 },
        { date: '2026-04-26', day_of_week: 'Sunday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2002700, cogs: 953842, gross_profit: 1048858, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 24032, bank_charges: 0, total_opex: 663699, operating_profit: 385159 },
        { date: '2026-04-27', day_of_week: 'Monday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2285100, cogs: 1114424, gross_profit: 1170676, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 27421, bank_charges: 10000, total_opex: 677088, operating_profit: 493588 },
        { date: '2026-04-28', day_of_week: 'Tuesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 2092800, cogs: 994464, gross_profit: 1098336, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 25114, bank_charges: 0, total_opex: 664780, operating_profit: 433556 },
        { date: '2026-04-29', day_of_week: 'Wednesday', is_open: true, open_hours: '09:00-23:00', hours_open: 14, covers: 84, net_sales: 1718300, cogs: 807087, gross_profit: 911213, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 20620, bank_charges: 0, total_opex: 660286, operating_profit: 250927 },
        { date: '2026-04-30', day_of_week: 'Thursday', is_open: false, open_hours: '-', hours_open: 0, covers: 0, net_sales: 0, cogs: 0, gross_profit: 0, rent: 166667, waiters_salaries: 75000, chefs_salaries: 56667, other_staff_salaries: 153000, electricity_grid: 31667, generator_fuel: 83333, marketing_social: 40000, maintenance_sanitation: 23333, consumables: 10000, fixed_opex_total: 639667, card_fees: 0, bank_charges: 0, total_opex: 639667, operating_profit: -639667 },
        { date: '', day_of_week: '', is_open: false, open_hours: '', hours_open: 0, covers: 0, net_sales: , cogs: , gross_profit: , rent: , waiters_salaries: , chefs_salaries: , other_staff_salaries: , electricity_grid: , generator_fuel: , marketing_social: , maintenance_sanitation: , consumables: , fixed_opex_total: , card_fees: , bank_charges: , total_opex: , operating_profit:  },
        { date: '', day_of_week: '', is_open: false, open_hours: '', hours_open: 0, covers: 0, net_sales: , cogs: , gross_profit: , rent: , waiters_salaries: , chefs_salaries: , other_staff_salaries: , electricity_grid: , generator_fuel: , marketing_social: , maintenance_sanitation: , consumables: , fixed_opex_total: , card_fees: , bank_charges: , total_opex: , operating_profit: 23181475 },
