        { date: '2026-02-01', day_of_week: 'Sunday', is_open: true, item_id: 'D-010', quantity_sold: 4, sales_amount: 340000, cogs_amount: 187000, gross_profit: 153000 },
        { date: '2026-02-05', day_of_week: 'Thursday', is_open: true, item_id: 'F-032', quantity_sold: 5, sales_amount: 30000, cogs_amount: 7500, gross_profit: 22500 },
        { date: '2026-02-06', day_of_week: 'Friday', is_open: true, item_id: 'F-032', quantity_sold: 7, sales_amount: 42000, cogs_amount: 10500, gross_profit: 31500 },
        { date: '2026-02-07', day_of_week: 'Saturday', is_open: true, item_id: 'F-032', quantity_sold: 13, sales_amount: 78000, cogs_amount: 19500, gross_profit: 58500 },
        { date: '2026-02-01', day_of_week: 'Sunday', is_open: true, item_id: 'F-020', quantity_sold: 7, sales_amount: 33600, cogs_amount: 10752, gross_profit: 22848 },
        { date: '2026-02-02', day_of_week: 'Monday', is_open: true, item_id: 'F-020', quantity_sold: 5, sales_amount: 24000, cogs_amount: 7680, gross_profit: 16320 },
        { date: '2026-02-03', day_of_week: 'Tuesday', is_open: true, item_id: 'F-020', quantity_sold: 3, sales_amount: 14400, cogs_amount: 4608, gross_profit: 9792 },
        { date: '2026-02-04', day_of_week: 'Wednesday', is_open: true, item_id: 'F-020', quantity_sold: 7, sales_amount: 33600, cogs_amount: 10752, gross_profit: 22848 },
        { date: '2026-02-05', day_of_week: 'Thursday', is_open: true, item_id: 'F-020', quantity_sold: 8, sales_amount: 38400, cogs_amount: 12288, gross_profit: 26112 },
        { date: '2026-02-06', day_of_week: 'Friday', is_open: true, item_id: 'F-020', quantity_sold: 10, sales_amount: 48000, cogs_amount: 15360, gross_profit: 32640 },
        { date: '2026-02-07', day_of_week: 'Saturday', is_open: true, item_id: 'F-020', quantity_sold: 9, sales_amount: 43200, cogs_amount: 13824, gross_profit: 29376 },
        { date: '2026-02-01', day_of_week: 'Sunday', is_open: true, item_id: 'F-006', quantity_sold: 1, sales_amount: 24000, cogs_amount: 11040, gross_profit: 12960 },
        { date: '2026-02-02', day_of_week: 'Monday', is_open: true, item_id: 'F-006', quantity_sold: 4, sales_amount: 96000, cogs_amount: 44160, gross_profit: 51840 },
        { date: '2026-02-03', day_of_week: 'Tuesday', is_open: true, item_id: 'F-006', quantity_sold: 1, sales_amount: 24000, cogs_amount: 11040, gross_profit: 12960 },
        { date: '2026-02-04', day_of_week: 'Wednesday', is_open: true, item_id: 'F-006', quantity_sold: 1, sales_amount: 24000, cogs_amount: 11040, gross_profit: 12960 },
        { date: '2026-02-05', day_of_week: 'Thursday', is_open: true, item_id: 'F-006', quantity_sold: 0, sales_amount: 0, cogs_amount: 0, gross_profit: 0 },
        { date: '2026-02-06', day_of_week: 'Friday', is_open: true, item_id: 'F-006', quantity_sold: 1, sales_amount: 24000, cogs_amount: 11040, gross_profit: 12960 },
        { date: '2026-02-07', day_of_week: 'Saturday', is_open: true, item_id: 'F-006', quantity_sold: 1, sales_amount: 24000, cogs_amount: 11040, gross_profit: 12960 },
        { date: '2026-02-01', day_of_week: 'Sunday', is_open: true, item_id: 'F-019', quantity_sold: 12, sales_amount: 45600, cogs_amount: 14592, gross_profit: 31008 },
        { date: '2026-02-02', day_of_week: 'Monday', is_open: true, item_id: 'F-019', quantity_sold: 9, sales_amount: 34200, cogs_amount: 10944, gross_profit: 23256 },
        { date: '2026-02-03', day_of_week: 'Tuesday', is_open: true, item_id: 'F-019', quantity_sold: 10, sales_amount: 38000, cogs_amount: 12160, gross_profit: 25840 },
        { date: '2026-02-04', day_of_week: 'Wednesday', is_open: true, item_id: 'F-019', quantity_sold: 7, sales_amount: 26600, cogs_amount: 8512, gross_profit: 18088 },
        { date: '2026-02-05', day_of_week: 'Thursday', is_open: true, item_id: 'F-019', quantity_sold: 10, sales_amount: 38000, cogs_amount: 12160, gross_profit: 25840 },
        { date: '2026-02-06', day_of_week: 'Friday', is_open: true, item_id: 'F-019', quantity_sold: 11, sales_amount: 41800, cogs_amount: 13376, gross_profit: 28424 },
        { date: '2026-02-07', day_of_week: 'Saturday', is_open: true, item_id: 'F-019', quantity_sold: 6, sales_amount: 22800, cogs_amount: 7296, gross_profit: 15504 },
        { date: '2026-02-01', day_of_week: 'Sunday', is_open: true, item_id: 'D-007', quantity_sold: 6, sales_amount: 36000, cogs_amount: 18000, gross_profit: 18000 },
        { date: '2026-02-02', day_of_week: 'Monday', is_open: true, item_id: 'D-007', quantity_sold: 6, sales_amount: 36000, cogs_amount: 18000, gross_profit: 18000 },
        { date: '2026-02-03', day_of_week: 'Tuesday', is_open: true, item_id: 'D-007', quantity_sold: 7, sales_amount: 42000, cogs_amount: 21000, gross_profit: 21000 },
        { date: '2026-02-04', day_of_week: 'Wednesday', is_open: true, item_id: 'D-007', quantity_sold: 6, sales_amount: 36000, cogs_amount: 18000, gross_profit: 18000 },
        { date: '2026-02-05', day_of_week: 'Thursday', is_open: true, item_id: 'D-007', quantity_sold: 4, sales_amount: 24000, cogs_amount: 12000, gross_profit: 12000 },
        { date: '2026-02-06', day_of_week: 'Friday', is_open: true, item_id: 'D-007', quantity_sold: 10, sales_amount: 60000, cogs_amount: 30000, gross_profit: 30000 },
        { date: '2026-02-07', day_of_week: 'Saturday', is_open: true, item_id: 'D-007', quantity_sold: 14, sales_amount: 84000, cogs_amount: 42000, gross_profit: 42000 },
        { date: '2026-02-01', day_of_week: 'Sunday', is_open: true, item_id: 'D-005', quantity_sold: 8, sales_amount: 44000, cogs_amount: 22000, gross_profit: 22000 },
        { date: '2026-02-02', day_of_week: 'Monday', is_open: true, item_id: 'D-005', quantity_sold: 5, sales_amount: 27500, cogs_amount: 13750, gross_profit: 13750 },
        { date: '2026-02-03', day_of_week: 'Tuesday', is_open: true, item_id: 'D-005', quantity_sold: 5, sales_amount: 27500, cogs_amount: 13750, gross_profit: 13750 },
        { date: '2026-02-04', day_of_week: 'Wednesday', is_open: true, item_id: 'D-005', quantity_sold: 6, sales_amount: 33000, cogs_amount: 16500, gross_profit: 16500 },
        { date: '2026-02-05', day_of_week: 'Thursday', is_open: true, item_id: 'D-005', quantity_sold: 8, sales_amount: 44000, cogs_amount: 22000, gross_profit: 22000 },
        { date: '2026-02-06', day_of_week: 'Friday', is_open: true, item_id: 'D-005', quantity_sold: 8, sales_amount: 44000, cogs_amount: 22000, gross_profit: 22000 },
        { date: '2026-02-07', day_of_week: 'Saturday', is_open: true, item_id: 'D-005', quantity_sold: 2, sales_amount: 11000, cogs_amount: 5500, gross_profit: 5500 },
        { date: '2026-02-01', day_of_week: 'Sunday', is_open: true, item_id: 'D-001', quantity_sold: 15, sales_amount: 42000, cogs_amount: 23100, gross_profit: 18900 },
        { date: '2026-02-02', day_of_week: 'Monday', is_open: true, item_id: 'D-001', quantity_sold: 11, sales_amount: 30800, cogs_amount: 16940, gross_profit: 13860 },
        { date: '2026-02-03', day_of_week: 'Tuesday', is_open: true, item_id: 'D-001', quantity_sold: 7, sales_amount: 19600, cogs_amount: 10780, gross_profit: 8820 },
        { date: '2026-02-04', day_of_week: 'Wednesday', is_open: true, item_id: 'D-001', quantity_sold: 15, sales_amount: 42000, cogs_amount: 23100, gross_profit: 18900 },
        { date: '2026-02-05', day_of_week: 'Thursday', is_open: true, item_id: 'D-001', quantity_sold: 12, sales_amount: 33600, cogs_amount: 18480, gross_profit: 15120 },
        { date: '2026-02-06', day_of_week: 'Friday', is_open: true, item_id: 'D-001', quantity_sold: 12, sales_amount: 33600, cogs_amount: 18480, gross_profit: 15120 },
        { date: '2026-02-07', day_of_week: 'Saturday', is_open: true, item_id: 'D-001', quantity_sold: 12, sales_amount: 33600, cogs_amount: 18480, gross_profit: 15120 },
